priority,path,sha256,bytes,mtime,status,role
1,hydropy1.0MoE/hydromoe/outputs/enhanced_hydromoe_best.pth,5ECD3BAA3F1928DACB15E7E3CB0926DCB18E329FC05B83920E014588CDBB65A1,3302943,2025-09-28 04:53:01,FOUND,"Most important checkpoint; same-day source pair for the September raw daily predictions"
2,hydropy1.0MoE/hydromoe/outputs/enhanced_real_runoff_predictions/real_runoff_predictions.csv,924F6ED7B73B12DF08A08F6A7C95B55BA86DBD9472B423D06DA610569B4ECED5,153537518,2025-09-28 10:24:16,FOUND,"Original unstitched daily predictions exported about 5.5 hours after priority-1 checkpoint"
3,hydropy1.0MoE/hydromoe/outputs/enhanced_real_runoff_predictions/real_runoff_predictions_aligned.csv,67AB7F26D8E323F6D08AAD7FA6983E519C649C7A9E0BF7A8BA080776B25E43ED,114351203,2025-09-28 10:24:22,FOUND,"Aligned station-date version of priority-2 daily predictions"
4,hydropy1.0MoE/hydromoe/outputs/enhanced_real_runoff_predictions/station_performance_real_runoff.csv,3FA6A690F999456AA4C29B5448C00BB79252782B53CEFF5C1F7F4AFCE643FC31,87572,2025-09-28 10:24:23,FOUND,"Station metrics generated in the same export batch as priority-2 predictions"
5,hydropy1.0MoE/hydromoe/outputs/enhanced_real_runoff_predictions/station_expert_weights.csv,7CACBD75CEA11AC82EC2C39C84FA1F5FA304D5F08258A3C209D77FC472EC40FB,149896,2025-09-28 10:24:23,FOUND,"Same-batch expert-weight summary; stronger provenance candidate than the later invalid gate export"
6,hydropy1.0MoE/outputs/MoE/station_performance_real_runoff.csv,5C310B12E5DCA39EE867AD667A3E60ED20756E2C1CCB78564F284544B02D005F,87024,2025-10-06 11:20:35,FOUND,"Final paper station table; exactly 499 main-model rows plus 51 test-selected lowR2 rows"
7,hydropy1.0MoE/outputs/MoE/real_runoff_predictions.csv,4C3D092E9005868361AA2C014B8A8322D1D493C88D975124FEC7FDFEF25A4B84,152735667,2025-10-06 11:20:40,FOUND,"Final paper daily predictions; 1355750 rows; exact daily stitch of 499 main and 51 lowR2 basins"
8,hydropy1.0MoE/outputs/MoE/real_runoff_predictions_aligned.csv,9EFA02E1D4C515E40973B377D8B662FA3469DC2C0F3237DB66C5C26D27B6A42B,114128202,2025-10-06 11:20:43,FOUND,"Aligned station-date form of the final stitched daily predictions"
9,hydropy1.0MoE/outputs/gate_timeseries/test_gate_timeseries.csv,368A33F8EF986B59C243FAB092CBB043F9ED6C6D2F3194731DCDE8433EE0ED7C,454147251,2025-10-11 14:27:33,FOUND,"Published gate-analysis source; exporter loaded zero checkpoint tensors and therefore does not represent the performance model"
10,hydropy1.0MoE/outputs/enhanced_hydromoe_best.pth,F370D0B5DFFDCAB6C880439129763030B95E8F3E97AD4E7B1D55D337547AD530,3302943,2025-10-10 11:48:01,FOUND,"Secondary later checkpoint; next-day gate file is not valid evidence of this checkpoint because the exporter key load failed"
11,hydropy1.0MoE/hydromoe/outputs/enhanced_real_runoff_predictions/station_metrics_summary.json,89C35EAA74845BA630970D3911056E79EDC18D7FFF07AA835D984492F9D6DA05,454,2025-09-28 10:24:23,FOUND,"Same-batch September metric summary"
12,hydropy1.0MoE/**/events.out.tfevents*,N/A,0,N/A,NOT_FOUND,"No HydroMoE TensorBoard event file found"
13,hydropy1.0MoE/**/*.log,N/A,0,N/A,NOT_FOUND,"No HydroMoE console/training log found; existing worker logs belong to the separate LSTM baseline project"
7A,hydropy1.0MoE/outputs/enhanced_real_runoff_predictions/real_runoff_predictions.csv,5A2065085371F3D338F5898B365F8C35BBE57231C80D5BEF6615F373F370E99D,153807474,2025-10-03 01:38:32,FOUND,"Main-model daily component used for 499 basins in the final paper daily file; differs from the September same-day checkpoint output in 682102 rows"
7B,hydropy1.0MoE/outputs/lowR2/real_runoff_predictions.csv,72F8A643FE56B429EB5C8D651726D999A429A7274DC16B6110A42E74C5A706F5,13609133,2025-10-02 23:35:44,FOUND,"LowR2 daily component used for 51 basins in the final paper daily file"
